subject,electrode,session_id,correct,incorrect,no_decision
4,Gel,1,0.6,0.25,0.15
4,Poly,1,0.38333333333333336,0.3333333333333333,0.2833333333333333
5,Gel,1,0.18333333333333332,0.03333333333333333,0.7833333333333333
5,Poly,1,0.15,0.21666666666666667,0.6333333333333333
6,Gel,1,0.5166666666666667,0.35,0.13333333333333333
6,Poly,1,0.3,0.36666666666666664,0.3333333333333333
4,Gel,2,0.5,0.4,0.1
4,Poly,2,0.48333333333333334,0.48333333333333334,0.03333333333333333
5,Gel,2,0.3,0.08333333333333333,0.6166666666666667
5,Poly,2,0.23333333333333334,0.31666666666666665,0.45
6,Gel,2,0.48333333333333334,0.1,0.4166666666666667
6,Poly,2,0.4166666666666667,0.38333333333333336,0.2
5,Gel,2,0.43333333333333335,0.2,0.36666666666666664
5,Poly,2,0.25,0.18333333333333332,0.5666666666666667
6,Gel,2,0.18333333333333332,0.23333333333333334,0.5833333333333334
6,Poly,2,0.3333333333333333,0.36666666666666664,0.3
4,Gel,2,0.55,0.38333333333333336,0.06666666666666667
4,Poly,2,0.38333333333333336,0.45,0.16666666666666666
4,Gel,2,0.5166666666666667,0.43333333333333335,0.05
4,Poly,2,0.45,0.5166666666666667,0.03333333333333333
5,Gel,2,0.5,0.36666666666666664,0.13333333333333333
5,Poly,2,0.43333333333333335,0.36666666666666664,0.2
6,Gel,2,0.25,0.4166666666666667,0.3333333333333333
6,Poly,2,0.5833333333333334,0.31666666666666665,0.1
4,Gel,2,0.5166666666666667,0.43333333333333335,0.05
6,Gel,2,0.25,0.4166666666666667,0.3333333333333333
4,Gel,1,0.6,0.25,0.15
4,Gel,1,0.6,0.25,0.15
4,Gel,2,0.5166666666666667,0.43333333333333335,0.05
5,Gel,2,0.5,0.36666666666666664,0.13333333333333333
5,Gel,2,0.55,0.4166666666666667,0.03333333333333333
5,Gel,2,0.5,0.36666666666666664,0.13333333333333333
